Distance (nm),RDF
0.01,0.0
0.03,0.0
0.05,0.0
0.07,0.0
0.09,0.0
0.11,0.0
0.13,0.0
0.15000000000000002,0.0
0.16999999999999998,0.0
0.19,0.0
0.21000000000000002,0.0
0.22999999999999998,0.0
0.25,0.0
0.27,0.0
0.29000000000000004,0.0
0.31,0.0
0.33,0.0
0.35,0.0
0.37,0.0
0.39,0.0
0.41000000000000003,0.0
0.43,0.0
0.45,0.0
0.47,0.0
0.49,0.0
0.51,0.0
0.53,0.0
0.55,0.0
0.5700000000000001,0.0
0.59,0.0
0.61,0.0
0.63,0.0
0.65,0.0
0.67,0.0
0.6900000000000001,0.0
0.71,0.0
0.73,0.0
0.75,0.0
0.77,0.0
0.79,0.0
0.81,0.0
0.8300000000000001,0.0
0.85,0.0
0.87,0.0
0.89,0.0
0.91,0.0
0.93,0.0
0.95,0.0
0.97,0.0
0.99,0.0
1.01,0.0
1.03,0.0
1.05,0.0
1.07,0.0
1.09,0.0
1.11,0.0
1.1300000000000001,0.0
1.15,0.0
1.17,0.0
1.19,0.0
1.21,0.0
1.23,0.0
1.25,0.0
1.27,0.0
1.29,0.0
1.31,0.0
1.33,0.0
1.35,0.0
1.37,0.0
1.3900000000000001,0.0
1.4100000000000001,0.0
1.43,0.0
1.45,0.0
1.47,0.0
1.49,0.0
